query,response,genre,quality_score
What is anime?,"Anime refers to Japanese animated productions featuring hand-drawn or computer animation. It encompasses various genres and storytelling styles, gaining worldwide popularity.",general,0.97
Recommend an action anime.,"I recommend Attack on Titan. It features intense battles, complex characters, and gripping storyline about humanity fighting giant creatures. The animation quality is exceptional.",action,0.96
Tell me about Studio Ghibli.,Studio Ghibli is a renowned Japanese animation studio known for beautiful hand-drawn films. Their works like Spirited Away and My Neighbor Totoro have won international acclaim.,studio,0.97
What are popular anime genres?,"Popular genres include Shonen (action-adventure), Shoujo (romance), Seinen (mature themes), Isekai (another world), Slice of Life, Mecha (robots), and Supernatural.",general,0.96
Suggest a romance anime.,"Your Name (Kimi no Na wa) is an excellent romance anime. It tells a beautiful story about two teenagers who mysteriously swap bodies, with stunning animation and emotional depth.",romance,0.96
What is Shonen anime?,"Shonen is anime targeted at young male audiences, typically featuring action, adventure, and coming-of-age themes. Popular examples include Naruto, One Piece, and Dragon Ball.",shonen,0.95
एनीमे क्या है?,"एनीमे जापानी एनिमेशन को कहते हैं। यह विभिन्न शैलियों में आता है जैसे एक्शन, रोमांस, और फंतासी। एनीमे दुनिया भर में लोकप्रिय है।",general_hindi,0.95
मुझे एक्शन एनीमे बताओ।,"मैं Attack on Titan की सिफारिश करता हूं। इसमें शानदार एक्शन, जटिल पात्र और रोमांचक कहानी है। यह बहुत लोकप्रिय है।",action_hindi,0.94
What is Isekai anime?,"Isekai anime features protagonists transported to parallel worlds or fantasy realms. Common themes include adventure, magic, and character growth in new environments.",isekai,0.95
Recommend a psychological anime.,"Death Note is an excellent psychological thriller. It follows a student who gains power to kill anyone by writing their name in a supernatural notebook, exploring themes of justice and morality.",psychological,0.97
Tell me about anime title 1.,Anime title 1 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9246721119232996
Tell me about anime title 2.,Anime title 2 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9145590510230612
Tell me about anime title 3.,Anime title 3 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.949413867286109
Tell me about anime title 4.,Anime title 4 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.94247600216329
Tell me about anime title 5.,Anime title 5 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.913808254111408
Tell me about anime title 6.,Anime title 6 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9184629837943006
Tell me about anime title 7.,Anime title 7 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.939411749428493
Tell me about anime title 8.,Anime title 8 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8839149112530224
Tell me about anime title 9.,Anime title 9 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.931234325324715
Tell me about anime title 10.,Anime title 10 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.931449548257989
Tell me about anime title 11.,Anime title 11 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9186285269005263
Tell me about anime title 12.,Anime title 12 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9074508118772543
Tell me about anime title 13.,Anime title 13 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9406484433297766
Tell me about anime title 14.,Anime title 14 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9297321950790225
Tell me about anime title 15.,Anime title 15 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9114169025749248
Tell me about anime title 16.,Anime title 16 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8958693302716456
Tell me about anime title 17.,Anime title 17 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8986330498055966
Tell me about anime title 18.,Anime title 18 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9288766487930643
Tell me about anime title 19.,Anime title 19 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8913656224597031
Tell me about anime title 20.,Anime title 20 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9428510605015146
Tell me about anime title 21.,Anime title 21 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9281173795355688
Tell me about anime title 22.,Anime title 22 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9153368784090541
Tell me about anime title 23.,Anime title 23 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8890484884051932
Tell me about anime title 24.,Anime title 24 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.920370707431953
Tell me about anime title 25.,Anime title 25 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9204186303588714
Tell me about anime title 26.,Anime title 26 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9169378697397437
Tell me about anime title 27.,Anime title 27 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9487140092348864
Tell me about anime title 28.,Anime title 28 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8888562351883055
Tell me about anime title 29.,Anime title 29 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9043966278209864
Tell me about anime title 30.,Anime title 30 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9191397675360138
Tell me about anime title 31.,Anime title 31 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8911376096950197
Tell me about anime title 32.,Anime title 32 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9179500565418061
Tell me about anime title 33.,Anime title 33 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9097606155243992
Tell me about anime title 34.,Anime title 34 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9344689987537855
Tell me about anime title 35.,Anime title 35 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9278453955317004
Tell me about anime title 36.,Anime title 36 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9137335747130102
Tell me about anime title 37.,Anime title 37 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9109810446646822
Tell me about anime title 38.,Anime title 38 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9105051671136316
Tell me about anime title 39.,Anime title 39 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.933561529025988
Tell me about anime title 40.,Anime title 40 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9396354883052971
Tell me about anime title 41.,Anime title 41 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9406296494587408
Tell me about anime title 42.,Anime title 42 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9440016624964367
Tell me about anime title 43.,Anime title 43 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9107030077274159
Tell me about anime title 44.,Anime title 44 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.910241886075207
Tell me about anime title 45.,Anime title 45 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.8802474597388585
Tell me about anime title 46.,Anime title 46 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.898900597729189
Tell me about anime title 47.,Anime title 47 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9138807339950765
Tell me about anime title 48.,Anime title 48 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.945446697681494
Tell me about anime title 49.,Anime title 49 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9009241142270489
Tell me about anime title 50.,Anime title 50 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.949065490711776
Tell me about anime title 51.,Anime title 51 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9082036486496794
Tell me about anime title 52.,Anime title 52 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9003836845190601
Tell me about anime title 53.,Anime title 53 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.8958541189997486
Tell me about anime title 54.,Anime title 54 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.94977364776619
Tell me about anime title 55.,Anime title 55 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9139501772148522
Tell me about anime title 56.,Anime title 56 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8843416212635868
Tell me about anime title 57.,Anime title 57 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9430349722392397
Tell me about anime title 58.,Anime title 58 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9167550508156774
Tell me about anime title 59.,Anime title 59 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9352923553033956
Tell me about anime title 60.,Anime title 60 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9051132586436337
Tell me about anime title 61.,Anime title 61 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.8833115774229716
Tell me about anime title 62.,Anime title 62 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9451702037816354
Tell me about anime title 63.,Anime title 63 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9275042390818831
Tell me about anime title 64.,Anime title 64 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9003218842132695
Tell me about anime title 65.,Anime title 65 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9469526425742701
Tell me about anime title 66.,Anime title 66 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9129552241794051
Tell me about anime title 67.,Anime title 67 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9461394315448504
Tell me about anime title 68.,Anime title 68 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8989758454585892
Tell me about anime title 69.,Anime title 69 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9037005226681628
Tell me about anime title 70.,Anime title 70 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.8940978699531498
Tell me about anime title 71.,Anime title 71 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.935244562354195
Tell me about anime title 72.,Anime title 72 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.920373823250602
Tell me about anime title 73.,Anime title 73 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8854045169543732
Tell me about anime title 74.,Anime title 74 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8912009445800229
Tell me about anime title 75.,Anime title 75 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9050561182079047
Tell me about anime title 76.,Anime title 76 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.8930888675886824
Tell me about anime title 77.,Anime title 77 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9288481724425726
Tell me about anime title 78.,Anime title 78 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8904263497447821
Tell me about anime title 79.,Anime title 79 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9045357462685519
Tell me about anime title 80.,Anime title 80 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.8848115712107466
Tell me about anime title 81.,Anime title 81 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.8941005525289546
Tell me about anime title 82.,Anime title 82 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9188539857376404
Tell me about anime title 83.,Anime title 83 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9417523507184768
Tell me about anime title 84.,Anime title 84 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9289412081380766
Tell me about anime title 85.,Anime title 85 is a sci-fi series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9282109391352368
Tell me about anime title 86.,Anime title 86 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9131020096538751
Tell me about anime title 87.,Anime title 87 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,scifi,0.9040707292802297
Tell me about anime title 88.,Anime title 88 is a fantasy series with engaging characters and compelling storyline. It has received positive reviews from fans.,romance,0.9421485394035093
Tell me about anime title 89.,Anime title 89 is a action series with engaging characters and compelling storyline. It has received positive reviews from fans.,action,0.9331394023015809
Tell me about anime title 90.,Anime title 90 is a romance series with engaging characters and compelling storyline. It has received positive reviews from fans.,fantasy,0.9084169929686869
