input,output,context
"नमस्ते, आप कैसे हैं?","मैं बिल्कुल ठीक हूं, धन्यवाद! आप कैसे हैं?","greeting"
"Hello, how are you?","I'm doing great! How can I help you today?","greeting"
"मुझे एक अच्छी anime की recommendation दो","क्या आप action, romance, या comedy anime पसंद करते हैं? या फिर कोई specific genre?","anime_recommendation"
"Tell me about Naruto","Naruto is an iconic shonen anime about a young ninja Naruto Uzumaki who dreams of becoming Hokage. It features incredible character development, intense battles, and themes of friendship and perseverance.","anime_knowledge"
"Attack on Titan की कहानी क्या है?","Attack on Titan humanity के survival की कहानी है जहाँ लोग विशाल दीवारों के अंदर रहते हैं Titans से बचने के लिए। Eren Yeager और उसके दोस्त Survey Corps में शामिल होकर Titans के खिलाफ लड़ते हैं और दुनिया के dark secrets को उजागर करते हैं।","anime_knowledge"
"What makes One Piece so popular?","One Piece's popularity stems from its incredible world-building, diverse and memorable characters, emotional storytelling, and the perfect balance of humor and serious themes. Oda's attention to detail and long-term plot planning keeps fans engaged for decades.","anime_analysis"
"Demon Slayer में सबसे strong character कौन है?","Demon Slayer में सबसे powerful characters में Yoriichi Tsugikuni, Muzan Kibutsuji, और Demon Slayer Mark वाले Hashira शामिल हैं। Tanjiro भी series के अंत तक बहुत powerful बन जाता है।","anime_knowledge"
"Recommend me something like Death Note","If you enjoyed Death Note's psychological thriller elements, try Code Geass, Monster, or Psycho-Pass. For similar mind games and strategic battles, try The Promised Neverland or Classroom of the Elite.","anime_recommendation"
"क्या आप हिंदी और English दोनों समझते हैं?","हां, मैं हिंदी और English दोनों languages में fluently बात कर सकता हूं। आप जिस भी language में comfortable हों, उसमें बात कीजिए।","language_capability"
"Which anime should I watch first as a beginner?","For beginners, I'd recommend starting with: Fullmetal Alchemist Brotherhood (great story and characters), My Hero Academia (easy to follow, exciting), Death Note (psychological thriller), or Demon Slayer (amazing animation). These are all highly accessible and showcase different anime genres.","anime_recommendation"
"JJK में Gojo इतना powerful क्यों है?","Gojo Satoru की power Six Eyes और Limitless technique से आती है। Six Eyes उसे cursed energy को perfectly control करने देती है, जबकि Limitless technique infinity का concept use करती है, जिससे कोई उस तक physically पहुंच नहीं सकता। उसका Domain Expansion 'Unlimited Void' सबसे deadly techniques में से एक है।","anime_knowledge"
"Explain the concept of chakra in Naruto","Chakra in Naruto is the fundamental energy source that ninjas use to perform jutsu. It's created by combining physical energy from cells and spiritual energy from training and experience. Different types include: fire, water, earth, wind, and lightning nature transformations.","anime_knowledge"
"Anya Spy x Family में इतनी cute क्यों है?","Anya की cuteness उसकी innocent personality, funny expressions, और mind-reading powers के humorous use से आती है। उसके 'waku waku' moments और Loid-Yor के साथ उसकी chemistry show को heartwarming बनाती है।","anime_analysis"
"What's the difference between shonen and seinen anime?","Shonen anime targets teenage boys with action, friendship themes (Naruto, One Piece). Seinen targets adult men with mature themes, complex plots, and realistic violence (Berserk, Vinland Saga). However, both can be enjoyed by anyone regardless of age or gender.","anime_knowledge"
"Anime dekhne का सही order क्या है?","Most anime को release order में देखना best है। लेकिन कुछ exceptions हैं: Fate series के लिए Fate/Zero → Fate/Stay Night: UBW देखें। Monogatari series complicated है तो guide follow करें। Generally, chronological order से ज्यादा release order maintain करें क्योंकि वो creator का intended experience है।","anime_guidance"
"Tell me about Studio Ghibli films","Studio Ghibli, founded by Hayao Miyazaki and Isao Takahata, creates masterpiece animated films. Their works like Spirited Away, My Neighbor Totoro, and Princess Mononoke feature beautiful hand-drawn animation, environmental themes, strong female protagonists, and magical realism that appeals to all ages.","anime_knowledge"
"Bleach vs Naruto कौनसा better है?","Both have strengths: Bleach has cooler powers (Zanpakuto, Bankai) and aesthetic fights, but inconsistent pacing. Naruto has better character development, emotional depth, and more consistent story progression. It depends on preference - Bleach for style, Naruto for substance.","anime_comparison"
"What is isekai anime?","Isekai (異世界) means 'another world' - a genre where protagonists are transported or reincarnated into fantasy worlds. Popular examples include Re:Zero, That Time I Got Reincarnated as a Slime, and Konosuba. The genre often features game-like mechanics and overpowered protagonists.","anime_knowledge"
"Hunter x Hunter में Nen system समझाओ","Nen एक complex power system है जो life energy को manipulate करती है। Six types हैं: Enhancement (physical boost), Transmutation (aura properties change), Emission (aura projection), Conjuration (objects create), Manipulation (control), Specialist (unique). Each person की natural affinity होती है एक type के साथ।","anime_knowledge"
"Best anime of 2023?","2023's standout anime include: Vinland Saga Season 2 (character development masterpiece), Oshi no Ko (entertainment industry dark side), Jujutsu Kaisen Season 2 (incredible animation), Frieren: Beyond Journey's End (emotional fantasy), and Chainsaw Man finale (stunning action).","anime_recommendation"